Type,Reference,Other,Value,Group,Confidence,a
best,Thermal Efficiency,Load following Capabilities,32.95,Technical,2,2.4939393094992597
best,Thermal Efficiency,Discharge Burnup,34.56,Technical,2,1.4275802116646856
best,Thermal Efficiency,Net Power Output,35.63,Technical,1,1.111676955371449
worst,Load following Capabilities,Discharge Burnup,50.28,Technical,2,2.24587287831068
worst,Load following Capabilities,Net Power Output,659.0,Technical,2,1.9480103856782278
best,Capital Investment Budgeted,Operative + Fuel Costs,11000.0,Economic,2,5.326231691078562
best,Capital Investment Budgeted,Design Complexity,10000.0,Economic,2,4.0
best,Capital Investment Budgeted,Construction Complexity,7000.0,Economic,2,1.6
worst,Operative + Fuel Costs,Design Complexity,4.777174,Economic,3,3.8941801710993724
worst,Operative + Fuel Costs,Construction Complexity,3.4,Economic,3,1.9936204146730465
best,Electricity Market Benefit,Nuclear Waste,2.5,Social,3,19.242096995876693
best,Electricity Market Benefit,Percived Safety,4.2,Social,3,11.543535620052769
best,Electricity Market Benefit,GHGe Benefit,10.0,Social,3,4.880964239466082
worst,Nuclear Waste,Percived Safety,0.4,Social,3,3.3266799733865597
worst,Nuclear Waste,GHGe Benefit,1.29,Social,2,3.111828888801355
best,Design Maturity,Supplier Availbility,3.78,Feasibility,2,1.9880715705765413
best,Design Maturity,Licensing Status,4.78,Feasibility,3,1.2403870007442321
worst,Supplier Availbility,Licensing Status,5.28,Feasibility,2,1.6556291390728475
best,Capital Investment Budgeted,Thermal Efficiency,13000.0,Between-groups-B,3,15.810276679841897
best,Capital Investment Budgeted,Electricity Market Benefit,5600.0,Between-groups-B,3,1.25
best,Capital Investment Budgeted,Design Maturity,8000.0,Between-groups-B,3,2.0
worst,Thermal Efficiency,Electricity Market Benefit,3.4,Between-groups-B,2,14.221035523566288
worst,Thermal Efficiency,Design Maturity,1.75,Between-groups-B,3,14.760147601476014
best,Supplier Availbility,Load following Capabilities,1.8,Between-groups-W,2,4.959333465582226
best,Supplier Availbility,Operative + Fuel Costs,4.88,Between-groups-W,2,1.2351778656126484
best,Supplier Availbility,Nuclear Waste,2.73,Between-groups-W,2,3.3615705257496304
worst,Load following Capabilities,Operative + Fuel Costs,23.61,Between-groups-W,2,3.347280334728033
worst,Load following Capabilities,Nuclear Waste,18.57462,Between-groups-W,2,3.869968515937786
