CRITERION_NAME,ALTERNATIVE,RANK,VALUE,CONFIDENCE
Construction Complexity,APR1400,4,0.19999999999999996,3
Construction Complexity,EPR1750,5,0.0,3
Construction Complexity,AP1000,3,0.3999999999999999,3
Construction Complexity,BWRX300,1,0.8,3
Construction Complexity,RollsRoyceSMR,2,0.6,3
Construction Complexity,NuScaleVOYGR6,0,1.0,3
Design Complexity,APR1400,4,0.20999999999999996,3
Design Complexity,EPR1750,5,0.0,3
Design Complexity,AP1000,3,0.38,3
Design Complexity,BWRX300,0,1.0,3
Design Complexity,RollsRoyceSMR,1,0.8400000000000001,3
Design Complexity,NuScaleVOYGR6,2,0.55,3
Design Maturity,APR1400,0,1.0,3
Design Maturity,EPR1750,2,0.6766666666666665,3
Design Maturity,AP1000,0,1.0,3
Design Maturity,BWRX300,3,0.18333333333333332,3
Design Maturity,RollsRoyceSMR,4,0.0,3
Design Maturity,NuScaleVOYGR6,4,0.0,3
Licensing Status,APR1400,1,0.6666666666666667,3
Licensing Status,EPR1750,0,1.0,3
Licensing Status,AP1000,1,0.6666666666666667,3
Licensing Status,BWRX300,3,0.33333333333333337,3
Licensing Status,RollsRoyceSMR,4,0.0,3
Licensing Status,NuScaleVOYGR6,4,0.0,3
Supplier Availbility,APR1400,4,0.25,3
Supplier Availbility,EPR1750,1,0.75,3
Supplier Availbility,AP1000,1,0.75,3
Supplier Availbility,BWRX300,0,1.0,3
Supplier Availbility,RollsRoyceSMR,3,0.5,3
Supplier Availbility,NuScaleVOYGR6,5,0.0,3
