CRITERION_NAME,CONFIDENCE,LIST OF POINTS
Capital Investment Budgeted,3,4000.0:1.0;20000.0:0.0
Construction Complexity,3,0.0:0.0;6.0:1.0
Design Complexity,3,0.0:0.0;6.0:1.0
Design Maturity,3,0.0:0.0;6.0:1.0
Discharge Burnup,3,46.5:0.0;55.0:1.0
Electricity Market Benefit,3,24.0:0.0;49.0:1.0
GHGe Benefit,3,0.53:0.0;2.9:1.0
Licensing Status,3,0.0:0.0;6.0:1.0
Load following Capabilities,3,0.0:0.0;4.25:1.0
Net Power Output,3,300.0:0.0;350.0:1.0;1630.0:1.0
Nuclear Waste,3,5.88:1.0;27.71:0.0
Operative + Fuel Costs,3,18.0:1.0;30.0:0.0
Percived Safety,3,0.0:0.0;0.9:0.0;2.0:1.0
Supplier Availbility,3,0.0:0.0;6.0:1.0
Thermal Efficiency,3,30.8:0.0;33.1:1.0
