REFERENCE_CRITERION,ADJUSTED_CRITERION,DATA_VALUE,TYPE,GROUP
Thermal Efficiency,Load following Capabilities,31.3,best,Technical
Thermal Efficiency,Discharge Burnup,32.5,best,Technical
Thermal Efficiency,Net Power Output,32.5,best,Technical
Load following Capabilities,Discharge Burnup,49,worst,Technical
Load following Capabilities,Net Power Output,350,worst,Technical
Capital Investment Budgeted,Operative + Fuel Costs,17000,best,Economic
Capital Investment Budgeted,Design Complexity,13826,best,Economic
Capital Investment Budgeted,Construction Complexity,14000.0,best,Economic
Operative + Fuel Costs,Design Complexity,5.470109,worst,Economic
Operative + Fuel Costs,Construction Complexity,5.157,worst,Economic
Electricity Market Benefit,GHGe Benefit,29.4,best,Social
Electricity Market Benefit,Percived Safety,29.6,best,Social
Electricity Market Benefit,Nuclear Waste,30,best,Social
GHGe Benefit,Percived Safety,1.7,worst,Social
GHGe Benefit,Nuclear Waste,10,worst,Social
Licensing Status,Design Maturity,3.60,best,Feasibility
Licensing Status,Supplier Availbility,3.7,best,Feasibility
Design Maturity,Supplier Availbility,5,worst,Feasibility
Capital Investment Budgeted,Thermal Efficiency,16000.0,best,Between-groups-B
Capital Investment Budgeted,Electricity Market Benefit,7000,best,Between-groups-B
Capital Investment Budgeted,Licensing Status,15000,best,Between-groups-B
Thermal Efficiency,Electricity Market Benefit,31.8,worst,Between-groups-B
Thermal Efficiency,Licensing Status,3,worst,Between-groups-B
Design Maturity,GHGe Benefit,2.5,best,Between-groups-W
Design Maturity,Load following Capabilities,2.8,best,Between-groups-W
Design Maturity,Operative + Fuel Costs,4.2,best,Between-groups-W
GHGe Benefit,Load following Capabilities,2,worst,Between-groups-W
GHGe Benefit,Operative + Fuel Costs,20,worst,Between-groups-W
