case_key,case_name,mc_mode,mc_iterations,repeat_id,wallclock_seconds
02,02-port-selection-uncertainty-two-decision-makers,strict,200,1,0.3692
02,02-port-selection-uncertainty-two-decision-makers,strict,200,2,0.3656
02,02-port-selection-uncertainty-two-decision-makers,strict,200,3,0.3647
02,02-port-selection-uncertainty-two-decision-makers,strict,200,4,0.3572
02,02-port-selection-uncertainty-two-decision-makers,strict,500,0,0.9141
02,02-port-selection-uncertainty-two-decision-makers,strict,500,1,0.9094
02,02-port-selection-uncertainty-two-decision-makers,strict,500,2,0.9101
02,02-port-selection-uncertainty-two-decision-makers,strict,500,3,0.9105
02,02-port-selection-uncertainty-two-decision-makers,strict,500,4,0.9003
02,02-port-selection-uncertainty-two-decision-makers,strict,1000,0,1.8402
02,02-port-selection-uncertainty-two-decision-makers,strict,1000,1,1.8235
02,02-port-selection-uncertainty-two-decision-makers,strict,1000,2,1.8045
02,02-port-selection-uncertainty-two-decision-makers,strict,1000,3,1.8203
02,02-port-selection-uncertainty-two-decision-makers,strict,1000,4,1.8389
02,02-port-selection-uncertainty-two-decision-makers,strict,2000,0,3.7075
02,02-port-selection-uncertainty-two-decision-makers,strict,2000,1,3.6419
02,02-port-selection-uncertainty-two-decision-makers,strict,2000,2,3.667
02,02-port-selection-uncertainty-two-decision-makers,strict,2000,3,3.6848
02,02-port-selection-uncertainty-two-decision-makers,strict,2000,4,3.6753
02,02-port-selection-uncertainty-two-decision-makers,strict,5000,0,9.2585
02,02-port-selection-uncertainty-two-decision-makers,strict,5000,1,9.1865
02,02-port-selection-uncertainty-two-decision-makers,strict,5000,2,9.1869
02,02-port-selection-uncertainty-two-decision-makers,strict,5000,3,9.3061
02,02-port-selection-uncertainty-two-decision-makers,strict,5000,4,9.3107
02,02-port-selection-uncertainty-two-decision-makers,strict,10000,0,18.5643
02,02-port-selection-uncertainty-two-decision-makers,strict,10000,1,18.6429
02,02-port-selection-uncertainty-two-decision-makers,strict,10000,2,18.627
02,02-port-selection-uncertainty-two-decision-makers,strict,10000,3,18.6218
02,02-port-selection-uncertainty-two-decision-makers,strict,10000,4,18.6188
02,02-port-selection-uncertainty-two-decision-makers,non_strict,50,0,0.048
02,02-port-selection-uncertainty-two-decision-makers,non_strict,50,1,0.0479
02,02-port-selection-uncertainty-two-decision-makers,non_strict,50,2,0.0482
02,02-port-selection-uncertainty-two-decision-makers,non_strict,50,3,0.0482
02,02-port-selection-uncertainty-two-decision-makers,non_strict,50,4,0.0486
02,02-port-selection-uncertainty-two-decision-makers,non_strict,100,0,0.0951
02,02-port-selection-uncertainty-two-decision-makers,non_strict,100,1,0.0957
02,02-port-selection-uncertainty-two-decision-makers,non_strict,100,2,0.0971
02,02-port-selection-uncertainty-two-decision-makers,non_strict,100,3,0.0975
02,02-port-selection-uncertainty-two-decision-makers,non_strict,100,4,0.0966
02,02-port-selection-uncertainty-two-decision-makers,non_strict,200,0,0.1908
02,02-port-selection-uncertainty-two-decision-makers,non_strict,200,1,0.1921
02,02-port-selection-uncertainty-two-decision-makers,non_strict,200,2,0.1944
02,02-port-selection-uncertainty-two-decision-makers,non_strict,200,3,0.1909
02,02-port-selection-uncertainty-two-decision-makers,non_strict,200,4,0.1961
02,02-port-selection-uncertainty-two-decision-makers,non_strict,500,0,0.4751
02,02-port-selection-uncertainty-two-decision-makers,non_strict,500,1,0.4872
02,02-port-selection-uncertainty-two-decision-makers,non_strict,500,2,0.4851
02,02-port-selection-uncertainty-two-decision-makers,non_strict,500,3,0.4828
02,02-port-selection-uncertainty-two-decision-makers,non_strict,500,4,0.4943
02,02-port-selection-uncertainty-two-decision-makers,non_strict,1000,0,0.9583
02,02-port-selection-uncertainty-two-decision-makers,non_strict,1000,1,0.9648
02,02-port-selection-uncertainty-two-decision-makers,non_strict,1000,2,0.9622
02,02-port-selection-uncertainty-two-decision-makers,non_strict,1000,3,0.9591
02,02-port-selection-uncertainty-two-decision-makers,non_strict,1000,4,0.9641
02,02-port-selection-uncertainty-two-decision-makers,non_strict,2000,0,1.9239
02,02-port-selection-uncertainty-two-decision-makers,non_strict,2000,1,1.9177
02,02-port-selection-uncertainty-two-decision-makers,non_strict,2000,2,1.9269
02,02-port-selection-uncertainty-two-decision-makers,non_strict,2000,3,1.9157
02,02-port-selection-uncertainty-two-decision-makers,non_strict,2000,4,1.9277
02,02-port-selection-uncertainty-two-decision-makers,non_strict,5000,0,4.8192
02,02-port-selection-uncertainty-two-decision-makers,non_strict,5000,1,4.8771
02,02-port-selection-uncertainty-two-decision-makers,non_strict,5000,2,4.8365
02,02-port-selection-uncertainty-two-decision-makers,non_strict,5000,3,4.8987
02,02-port-selection-uncertainty-two-decision-makers,non_strict,5000,4,4.8653
02,02-port-selection-uncertainty-two-decision-makers,non_strict,10000,0,9.693
02,02-port-selection-uncertainty-two-decision-makers,non_strict,10000,1,9.7115
02,02-port-selection-uncertainty-two-decision-makers,non_strict,10000,2,9.7201
02,02-port-selection-uncertainty-two-decision-makers,non_strict,10000,3,9.7347
02,02-port-selection-uncertainty-two-decision-makers,non_strict,10000,4,9.7483
03,03-nuclear-reactor-hierarchical-uncertain,strict,50,0,0.1782
03,03-nuclear-reactor-hierarchical-uncertain,strict,50,1,0.1778
03,03-nuclear-reactor-hierarchical-uncertain,strict,50,2,0.1773
03,03-nuclear-reactor-hierarchical-uncertain,strict,50,3,0.1794
03,03-nuclear-reactor-hierarchical-uncertain,strict,50,4,0.1769
03,03-nuclear-reactor-hierarchical-uncertain,strict,100,0,0.3603
03,03-nuclear-reactor-hierarchical-uncertain,strict,100,1,0.3863
03,03-nuclear-reactor-hierarchical-uncertain,strict,100,2,0.3533
03,03-nuclear-reactor-hierarchical-uncertain,strict,100,3,0.3475
03,03-nuclear-reactor-hierarchical-uncertain,strict,100,4,0.3537
03,03-nuclear-reactor-hierarchical-uncertain,strict,200,0,0.7099
03,03-nuclear-reactor-hierarchical-uncertain,strict,200,1,0.7343
03,03-nuclear-reactor-hierarchical-uncertain,strict,200,2,0.7124
03,03-nuclear-reactor-hierarchical-uncertain,strict,200,3,0.7246
03,03-nuclear-reactor-hierarchical-uncertain,strict,200,4,0.7072
03,03-nuclear-reactor-hierarchical-uncertain,strict,500,0,1.7677
03,03-nuclear-reactor-hierarchical-uncertain,strict,500,1,1.8147
03,03-nuclear-reactor-hierarchical-uncertain,strict,500,2,1.8077
03,03-nuclear-reactor-hierarchical-uncertain,strict,500,3,1.7694
03,03-nuclear-reactor-hierarchical-uncertain,strict,500,4,1.781
03,03-nuclear-reactor-hierarchical-uncertain,strict,1000,0,3.5537
03,03-nuclear-reactor-hierarchical-uncertain,strict,1000,1,3.5203
03,03-nuclear-reactor-hierarchical-uncertain,strict,1000,2,3.5433
03,03-nuclear-reactor-hierarchical-uncertain,strict,1000,3,3.5605
03,03-nuclear-reactor-hierarchical-uncertain,strict,1000,4,3.5619
03,03-nuclear-reactor-hierarchical-uncertain,strict,2000,0,7.1251
03,03-nuclear-reactor-hierarchical-uncertain,strict,2000,1,7.1205
03,03-nuclear-reactor-hierarchical-uncertain,strict,2000,2,7.1939
03,03-nuclear-reactor-hierarchical-uncertain,strict,2000,3,7.1977
03,03-nuclear-reactor-hierarchical-uncertain,strict,2000,4,7.2036
03,03-nuclear-reactor-hierarchical-uncertain,strict,5000,0,18.0553
03,03-nuclear-reactor-hierarchical-uncertain,strict,5000,1,17.8738
03,03-nuclear-reactor-hierarchical-uncertain,strict,5000,2,18.0832
03,03-nuclear-reactor-hierarchical-uncertain,strict,5000,3,18.0436
03,03-nuclear-reactor-hierarchical-uncertain,strict,5000,4,17.9741
03,03-nuclear-reactor-hierarchical-uncertain,strict,10000,0,36.1333
03,03-nuclear-reactor-hierarchical-uncertain,strict,10000,1,36.3631
03,03-nuclear-reactor-hierarchical-uncertain,strict,10000,2,36.4207
03,03-nuclear-reactor-hierarchical-uncertain,strict,10000,3,36.3882
03,03-nuclear-reactor-hierarchical-uncertain,strict,10000,4,36.4365
03,03-nuclear-reactor-hierarchical-uncertain,non_strict,50,0,0.0617
03,03-nuclear-reactor-hierarchical-uncertain,non_strict,50,1,0.0614
03,03-nuclear-reactor-hierarchical-uncertain,non_strict,50,2,0.0639
03,03-nuclear-reactor-hierarchical-uncertain,non_strict,50,3,0.0615
03,03-nuclear-reactor-hierarchical-uncertain,non_strict,50,4,0.0636
03,03-nuclear-reactor-hierarchical-uncertain,non_strict,100,0,0.1224
03,03-nuclear-reactor-hierarchical-uncertain,non_strict,100,1,0.1206
03,03-nuclear-reactor-hierarchical-uncertain,non_strict,100,2,0.1206
03,03-nuclear-reactor-hierarchical-uncertain,non_strict,100,3,0.1237
03,03-nuclear-reactor-hierarchical-uncertain,non_strict,100,4,0.1244
03,03-nuclear-reactor-hierarchical-uncertain,non_strict,200,0,0.2463
03,03-nuclear-reactor-hierarchical-uncertain,non_strict,200,1,0.2478
03,03-nuclear-reactor-hierarchical-uncertain,non_strict,200,2,0.2447
03,03-nuclear-reactor-hierarchical-uncertain,non_strict,200,3,0.2507
03,03-nuclear-reactor-hierarchical-uncertain,non_strict,200,4,0.2511
03,03-nuclear-reactor-hierarchical-uncertain,non_strict,500,0,0.6239
03,03-nuclear-reactor-hierarchical-uncertain,non_strict,500,1,0.6352
03,03-nuclear-reactor-hierarchical-uncertain,non_strict,500,2,0.6232
