case_key,case_name,mc_mode,mc_iterations,repeat_id,elicitation_id,alternative,mean,std,std_over_mean_pct
01,01-port-selection-liang-et-al,strict,50,0,0,Piraeus,0.490143,0.006725,1.372
01,01-port-selection-liang-et-al,strict,50,0,0,Koper,0.532366,0.006547,1.2298
01,01-port-selection-liang-et-al,strict,50,0,0,Genoa,0.306003,0.004026,1.3156
01,01-port-selection-liang-et-al,strict,50,0,0,Antwerp,0.534949,0.00384,0.7178
01,01-port-selection-liang-et-al,strict,50,0,0,Rotterdam,0.636109,0.001162,0.1826
01,01-port-selection-liang-et-al,strict,50,0,0,Hamburg,0.497126,0.006501,1.3077
01,01-port-selection-liang-et-al,strict,50,0,0,Gdansk,0.582807,0.002864,0.4914
01,01-port-selection-liang-et-al,strict,50,1,0,Piraeus,0.488398,0.00807,1.6523
01,01-port-selection-liang-et-al,strict,50,1,0,Koper,0.530875,0.006946,1.3084
01,01-port-selection-liang-et-al,strict,50,1,0,Genoa,0.305016,0.004454,1.4603
01,01-port-selection-liang-et-al,strict,50,1,0,Antwerp,0.534072,0.004079,0.7638
01,01-port-selection-liang-et-al,strict,50,1,0,Rotterdam,0.636268,0.001619,0.2544
01,01-port-selection-liang-et-al,strict,50,1,0,Hamburg,0.498828,0.007848,1.5732
01,01-port-selection-liang-et-al,strict,50,1,0,Gdansk,0.583396,0.002776,0.4759
01,01-port-selection-liang-et-al,strict,50,2,0,Piraeus,0.488802,0.00724,1.4811
01,01-port-selection-liang-et-al,strict,50,2,0,Koper,0.53119,0.006564,1.2358
01,01-port-selection-liang-et-al,strict,50,2,0,Genoa,0.305235,0.004096,1.3418
01,01-port-selection-liang-et-al,strict,50,2,0,Antwerp,0.5342,0.003784,0.7084
01,01-port-selection-liang-et-al,strict,50,2,0,Rotterdam,0.636139,0.001624,0.2554
01,01-port-selection-liang-et-al,strict,50,2,0,Hamburg,0.498317,0.007017,1.4082
01,01-port-selection-liang-et-al,strict,50,2,0,Gdansk,0.583211,0.002604,0.4465
01,01-port-selection-liang-et-al,strict,50,3,0,Piraeus,0.488357,0.007646,1.5657
01,01-port-selection-liang-et-al,strict,50,3,0,Koper,0.53119,0.006598,1.2422
01,01-port-selection-liang-et-al,strict,50,3,0,Genoa,0.305132,0.004214,1.3809
01,01-port-selection-liang-et-al,strict,50,3,0,Antwerp,0.5342,0.003834,0.7177
01,01-port-selection-liang-et-al,strict,50,3,0,Rotterdam,0.636428,0.001674,0.263
01,01-port-selection-liang-et-al,strict,50,3,0,Hamburg,0.498867,0.007511,1.5055
01,01-port-selection-liang-et-al,strict,50,3,0,Gdansk,0.583213,0.002674,0.4586
01,01-port-selection-liang-et-al,strict,50,4,0,Piraeus,0.48969,0.007298,1.4904
01,01-port-selection-liang-et-al,strict,50,4,0,Koper,0.531846,0.006625,1.2457
01,01-port-selection-liang-et-al,strict,50,4,0,Genoa,0.305682,0.004153,1.3585
01,01-port-selection-liang-et-al,strict,50,4,0,Antwerp,0.534601,0.003851,0.7203
01,01-port-selection-liang-et-al,strict,50,4,0,Rotterdam,0.636009,0.001516,0.2383
01,01-port-selection-liang-et-al,strict,50,4,0,Hamburg,0.497519,0.007059,1.4188
01,01-port-selection-liang-et-al,strict,50,4,0,Gdansk,0.583079,0.002691,0.4615
01,01-port-selection-liang-et-al,strict,100,0,0,Piraeus,0.488709,0.007183,1.4698
01,01-port-selection-liang-et-al,strict,100,0,0,Koper,0.530859,0.006388,1.2033
01,01-port-selection-liang-et-al,strict,100,0,0,Genoa,0.305086,0.004034,1.3224
01,01-port-selection-liang-et-al,strict,100,0,0,Antwerp,0.534019,0.003699,0.6927
01,01-port-selection-liang-et-al,strict,100,0,0,Rotterdam,0.636003,0.001473,0.2316
01,01-port-selection-liang-et-al,strict,100,0,0,Hamburg,0.498424,0.006993,1.4031
01,01-port-selection-liang-et-al,strict,100,0,0,Gdansk,0.583449,0.002576,0.4415
01,01-port-selection-liang-et-al,strict,100,1,0,Piraeus,0.488875,0.007461,1.5261
01,01-port-selection-liang-et-al,strict,100,1,0,Koper,0.531358,0.00633,1.1914
01,01-port-selection-liang-et-al,strict,100,1,0,Genoa,0.305327,0.004077,1.3354
01,01-port-selection-liang-et-al,strict,100,1,0,Antwerp,0.534311,0.003698,0.6921
01,01-port-selection-liang-et-al,strict,100,1,0,Rotterdam,0.636228,0.00161,0.2531
01,01-port-selection-liang-et-al,strict,100,1,0,Hamburg,0.498293,0.007314,1.4677
01,01-port-selection-liang-et-al,strict,100,1,0,Gdansk,0.583134,0.002532,0.4343
01,01-port-selection-liang-et-al,strict,100,2,0,Piraeus,0.489938,0.007513,1.5334
01,01-port-selection-liang-et-al,strict,100,2,0,Koper,0.532482,0.006374,1.197
01,01-port-selection-liang-et-al,strict,100,2,0,Genoa,0.306011,0.004113,1.3442
01,01-port-selection-liang-et-al,strict,100,2,0,Antwerp,0.534999,0.003769,0.7045
01,01-port-selection-liang-et-al,strict,100,2,0,Rotterdam,0.636316,0.0016,0.2515
01,01-port-selection-liang-et-al,strict,100,2,0,Hamburg,0.497289,0.007344,1.4768
01,01-port-selection-liang-et-al,strict,100,2,0,Gdansk,0.58259,0.002575,0.442
01,01-port-selection-liang-et-al,strict,100,3,0,Piraeus,0.48925,0.00742,1.5167
01,01-port-selection-liang-et-al,strict,100,3,0,Koper,0.531879,0.006618,1.2443
01,01-port-selection-liang-et-al,strict,100,3,0,Genoa,0.305601,0.004181,1.368
01,01-port-selection-liang-et-al,strict,100,3,0,Antwerp,0.534625,0.003874,0.7246
01,01-port-selection-liang-et-al,strict,100,3,0,Rotterdam,0.636334,0.001585,0.2491
01,01-port-selection-liang-et-al,strict,100,3,0,Hamburg,0.498011,0.007243,1.4544
01,01-port-selection-liang-et-al,strict,100,3,0,Gdansk,0.582959,0.002774,0.4758
01,01-port-selection-liang-et-al,strict,100,4,0,Piraeus,0.490596,0.006889,1.4042
01,01-port-selection-liang-et-al,strict,100,4,0,Koper,0.53251,0.006366,1.1954
01,01-port-selection-liang-et-al,strict,100,4,0,Genoa,0.306148,0.003982,1.3007
01,01-port-selection-liang-et-al,strict,100,4,0,Antwerp,0.535009,0.00373,0.6973
01,01-port-selection-liang-et-al,strict,100,4,0,Rotterdam,0.63588,0.001348,0.2119
01,01-port-selection-liang-et-al,strict,100,4,0,Hamburg,0.49664,0.0067,1.3491
01,01-port-selection-liang-et-al,strict,100,4,0,Gdansk,0.582839,0.002731,0.4686
01,01-port-selection-liang-et-al,strict,200,0,0,Piraeus,0.489538,0.007779,1.589
01,01-port-selection-liang-et-al,strict,200,0,0,Koper,0.532285,0.006468,1.2152
01,01-port-selection-liang-et-al,strict,200,0,0,Genoa,0.305826,0.004196,1.3719
01,01-port-selection-liang-et-al,strict,200,0,0,Antwerp,0.534846,0.003804,0.7112
01,01-port-selection-liang-et-al,strict,200,0,0,Rotterdam,0.636424,0.001709,0.2685
01,01-port-selection-liang-et-al,strict,200,0,0,Hamburg,0.497733,0.007605,1.528
01,01-port-selection-liang-et-al,strict,200,0,0,Gdansk,0.582736,0.002568,0.4407
01,01-port-selection-liang-et-al,strict,200,1,0,Piraeus,0.489906,0.007021,1.4331
01,01-port-selection-liang-et-al,strict,200,1,0,Koper,0.532174,0.006402,1.203
01,01-port-selection-liang-et-al,strict,200,1,0,Genoa,0.305875,0.004015,1.3126
01,01-port-selection-liang-et-al,strict,200,1,0,Antwerp,0.534811,0.003751,0.7014
01,01-port-selection-liang-et-al,strict,200,1,0,Rotterdam,0.63612,0.001417,0.2227
01,01-port-selection-liang-et-al,strict,200,1,0,Hamburg,0.497302,0.006829,1.3732
01,01-port-selection-liang-et-al,strict,200,1,0,Gdansk,0.582829,0.002693,0.462
01,01-port-selection-liang-et-al,strict,200,2,0,Piraeus,0.490446,0.006746,1.3755
01,01-port-selection-liang-et-al,strict,200,2,0,Koper,0.532664,0.006357,1.1935
01,01-port-selection-liang-et-al,strict,200,2,0,Genoa,0.306184,0.003934,1.2847
01,01-port-selection-liang-et-al,strict,200,2,0,Antwerp,0.535096,0.003719,0.6949
01,01-port-selection-liang-et-al,strict,200,2,0,Rotterdam,0.636089,0.00137,0.2154
01,01-port-selection-liang-et-al,strict,200,2,0,Hamburg,0.496776,0.006541,1.3166
01,01-port-selection-liang-et-al,strict,200,2,0,Gdansk,0.582631,0.002712,0.4655
01,01-port-selection-liang-et-al,strict,200,3,0,Piraeus,0.489116,0.007458,1.5249
01,01-port-selection-liang-et-al,strict,200,3,0,Koper,0.53155,0.006498,1.2224
01,01-port-selection-liang-et-al,strict,200,3,0,Genoa,0.30545,0.004143,1.3563
01,01-port-selection-liang-et-al,strict,200,3,0,Antwerp,0.534435,0.003802,0.7113
01,01-port-selection-liang-et-al,strict,200,3,0,Rotterdam,0.636211,0.001569,0.2467
01,01-port-selection-liang-et-al,strict,200,3,0,Hamburg,0.498085,0.007284,1.4623
01,01-port-selection-liang-et-al,strict,200,3,0,Gdansk,0.583088,0.002652,0.4548
01,01-port-selection-liang-et-al,strict,200,4,0,Piraeus,0.489314,0.007538,1.5406
01,01-port-selection-liang-et-al,strict,200,4,0,Koper,0.53181,0.006539,1.2296
01,01-port-selection-liang-et-al,strict,200,4,0,Genoa,0.3056,0.004171,1.365
01,01-port-selection-liang-et-al,strict,200,4,0,Antwerp,0.534593,0.003836,0.7176
01,01-port-selection-liang-et-al,strict,200,4,0,Rotterdam,0.636268,0.001626,0.2556
01,01-port-selection-liang-et-al,strict,200,4,0,Hamburg,0.497875,0.007335,1.4732
01,01-port-selection-liang-et-al,strict,200,4,0,Gdansk,0.582904,0.002621,0.4497
01,01-port-selection-liang-et-al,strict,500,0,0,Piraeus,0.489431,0.007524,1.5374
01,01-port-selection-liang-et-al,strict,500,0,0,Koper,0.531762,0.00654,1.2299
01,01-port-selection-liang-et-al,strict,500,0,0,Genoa,0.305604,0.00417,1.3647
01,01-port-selection-liang-et-al,strict,500,0,0,Antwerp,0.534562,0.003824,0.7154
01,01-port-selection-liang-et-al,strict,500,0,0,Rotterdam,0.636145,0.001589,0.2498
01,01-port-selection-liang-et-al,strict,500,0,0,Hamburg,0.497752,0.007322,1.4711
01,01-port-selection-liang-et-al,strict,500,0,0,Gdansk,0.582992,0.002612,0.4481
01,01-port-selection-liang-et-al,strict,500,1,0,Piraeus,0.489958,0.007313,1.4927
01,01-port-selection-liang-et-al,strict,500,1,0,Koper,0.532234,0.006434,1.2088
01,01-port-selection-liang-et-al,strict,500,1,0,Genoa,0.305907,0.004086,1.3357
01,01-port-selection-liang-et-al,strict,500,1,0,Antwerp,0.53484,0.003772,0.7053
01,01-port-selection-liang-et-al,strict,500,1,0,Rotterdam,0.636127,0.001502,0.2361
01,01-port-selection-liang-et-al,strict,500,1,0,Hamburg,0.497256,0.007105,1.4289
01,01-port-selection-liang-et-al,strict,500,1,0,Gdansk,0.582811,0.002613,0.4483
01,01-port-selection-liang-et-al,strict,500,2,0,Piraeus,0.488998,0.007362,1.5054
01,01-port-selection-liang-et-al,strict,500,2,0,Koper,0.531368,0.006265,1.179
01,01-port-selection-liang-et-al,strict,500,2,0,Genoa,0.305359,0.004038,1.3225
01,01-port-selection-liang-et-al,strict,500,2,0,Antwerp,0.534328,0.00368,0.6887
01,01-port-selection-liang-et-al,strict,500,2,0,Rotterdam,0.636169,0.001597,0.2511
01,01-port-selection-liang-et-al,strict,500,2,0,Hamburg,0.498168,0.007233,1.4518
01,01-port-selection-liang-et-al,strict,500,2,0,Gdansk,0.583145,0.002584,0.4431
01,01-port-selection-liang-et-al,strict,500,3,0,Piraeus,0.489737,0.007359,1.5027
01,01-port-selection-liang-et-al,strict,500,3,0,Koper,0.532164,0.006492,1.2199
01,01-port-selection-liang-et-al,strict,500,3,0,Genoa,0.305828,0.004118,1.3466
01,01-port-selection-liang-et-al,strict,500,3,0,Antwerp,0.534796,0.003802,0.7109
01,01-port-selection-liang-et-al,strict,500,3,0,Rotterdam,0.63621,0.001547,0.2431
01,01-port-selection-liang-et-al,strict,500,3,0,Hamburg,0.49749,0.007176,1.4425
01,01-port-selection-liang-et-al,strict,500,3,0,Gdansk,0.582827,0.002667,0.4577
01,01-port-selection-liang-et-al,strict,500,4,0,Piraeus,0.489859,0.007359,1.5023
01,01-port-selection-liang-et-al,strict,500,4,0,Koper,0.532154,0.006544,1.2297
01,01-port-selection-liang-et-al,strict,500,4,0,Genoa,0.305848,0.004137,1.3527
01,01-port-selection-liang-et-al,strict,500,4,0,Antwerp,0.534791,0.003827,0.7156
01,01-port-selection-liang-et-al,strict,500,4,0,Rotterdam,0.636132,0.001496,0.2351
01,01-port-selection-liang-et-al,strict,500,4,0,Hamburg,0.497368,0.007147,1.437
01,01-port-selection-liang-et-al,strict,500,4,0,Gdansk,0.582873,0.002669,0.458
01,01-port-selection-liang-et-al,strict,1000,0,0,Piraeus,0.489296,0.007415,1.5153
01,01-port-selection-liang-et-al,strict,1000,0,0,Koper,0.531717,0.006584,1.2382
01,01-port-selection-liang-et-al,strict,1000,0,0,Genoa,0.305552,0.004165,1.3632
01,01-port-selection-liang-et-al,strict,1000,0,0,Antwerp,0.534534,0.003849,0.72
01,01-port-selection-liang-et-al,strict,1000,0,0,Rotterdam,0.636205,0.001546,0.243
01,01-port-selection-liang-et-al,strict,1000,0,0,Hamburg,0.497922,0.007217,1.4494
01,01-port-selection-liang-et-al,strict,1000,0,0,Gdansk,0.583037,0.002704,0.4639
01,01-port-selection-liang-et-al,strict,1000,1,0,Piraeus,0.489409,0.007429,1.5179
01,01-port-selection-liang-et-al,strict,1000,1,0,Koper,0.531857,0.006531,1.2279
01,01-port-selection-liang-et-al,strict,1000,1,0,Genoa,0.305632,0.004145,1.3563
01,01-port-selection-liang-et-al,strict,1000,1,0,Antwerp,0.534608,0.003813,0.7132
01,01-port-selection-liang-et-al,strict,1000,1,0,Rotterdam,0.636214,0.001562,0.2455
01,01-port-selection-liang-et-al,strict,1000,1,0,Hamburg,0.497808,0.007245,1.4553
01,01-port-selection-liang-et-al,strict,1000,1,0,Gdansk,0.582968,0.002659,0.4561
01,01-port-selection-liang-et-al,strict,1000,2,0,Piraeus,0.488989,0.007529,1.5398
01,01-port-selection-liang-et-al,strict,1000,2,0,Koper,0.531531,0.00654,1.2304
01,01-port-selection-liang-et-al,strict,1000,2,0,Genoa,0.305415,0.004174,1.3666
01,01-port-selection-liang-et-al,strict,1000,2,0,Antwerp,0.534425,0.00383,0.7166
01,01-port-selection-liang-et-al,strict,1000,2,0,Rotterdam,0.636281,0.00161,0.253
01,01-port-selection-liang-et-al,strict,1000,2,0,Hamburg,0.498212,0.007358,1.4769
01,01-port-selection-liang-et-al,strict,1000,2,0,Gdansk,0.58306,0.002666,0.4572
01,01-port-selection-liang-et-al,strict,1000,3,0,Piraeus,0.48916,0.007702,1.5746
01,01-port-selection-liang-et-al,strict,1000,3,0,Koper,0.531789,0.006557,1.233
01,01-port-selection-liang-et-al,strict,1000,3,0,Genoa,0.305546,0.004219,1.3807
01,01-port-selection-liang-et-al,strict,1000,3,0,Antwerp,0.534565,0.003843,0.7188
01,01-port-selection-liang-et-al,strict,1000,3,0,Rotterdam,0.636331,0.00165,0.2593
01,01-port-selection-liang-et-al,strict,1000,3,0,Hamburg,0.498095,0.007543,1.5144
01,01-port-selection-liang-et-al,strict,1000,3,0,Gdansk,0.583001,0.002665,0.4572
01,01-port-selection-liang-et-al,strict,1000,4,0,Piraeus,0.489707,0.007407,1.5125
01,01-port-selection-liang-et-al,strict,1000,4,0,Koper,0.53208,0.006529,1.227
01,01-port-selection-liang-et-al,strict,1000,4,0,Genoa,0.305784,0.004143,1.3549
01,01-port-selection-liang-et-al,strict,1000,4,0,Antwerp,0.534744,0.003822,0.7147
01,01-port-selection-liang-et-al,strict,1000,4,0,Rotterdam,0.636179,0.001528,0.2402
01,01-port-selection-liang-et-al,strict,1000,4,0,Hamburg,0.497534,0.007206,1.4484
01,01-port-selection-liang-et-al,strict,1000,4,0,Gdansk,0.582908,0.002672,0.4584
01,01-port-selection-liang-et-al,strict,2000,0,0,Piraeus,0.48929,0.007467,1.5262
01,01-port-selection-liang-et-al,strict,2000,0,0,Koper,0.531661,0.00653,1.2282
01,01-port-selection-liang-et-al,strict,2000,0,0,Genoa,0.30553,0.004157,1.3605
01,01-port-selection-liang-et-al,strict,2000,0,0,Antwerp,0.534502,0.003823,0.7152
01,01-port-selection-liang-et-al,strict,2000,0,0,Rotterdam,0.636176,0.001567,0.2462
01,01-port-selection-liang-et-al,strict,2000,0,0,Hamburg,0.497914,0.007278,1.4616
